x_km,bathy,topo
36.4,-668.529517201831,-440.084347112459
36.5,-668.447196375964,-448.213776025022
36.6,-668.364875550098,-456.343204937585
36.7,-668.282554724231,-464.472633850149
36.8,-668.200233898365,-472.602062762712
36.9,-668.117913072498,-479.248459589831
37,-668.035592246632,-484.739070682853
37.1,-667.953271420766,-490.229681775875
37.2,-667.870950594899,-495.720292868897
37.3,-667.788629769033,-501.210903961919
37.4,-667.706308943166,-505.405932118505
37.5,-667.748971901366,-509.168745829684
37.6,-668.523917816874,-512.931559540864
37.7,-669.298863732382,-514.964791527045
37.8,-670.07380964789,-516.892998563685
37.9,-670.848755563398,-518.821205600324
38,-671.623701478906,-520.749412636964
38.1,-672.398647394414,-522.677619673604
38.2,-673.173593309922,-524.605826710244
38.3,-673.948539225431,-523.690102691824
38.4,-674.723485140938,-522.552254738141
38.5,-675.498431056447,-521.414406784458
38.6,-676.215377190617,-520.276558830775
38.7,-676.808182482218,-519.138710877092
38.8,-677.400987773818,-516.475893825285
38.9,-677.993793065419,-510.471654568032
39,-678.58659835702,-504.46741531078
39.1,-679.17940364862,-498.463176053527
39.2,-679.772208940221,-492.458936796274
39.3,-680.365014231821,-493.948798195791
39.4,-680.957819523422,-496.250837756867
39.5,-682.422025643398,-498.552877317944
39.6,-684.771186951251,-497.15892435341
39.7,-687.120348259104,-494.136206528628
39.8,-689.469509566957,-491.113488703846
39.9,-691.81867087481,-488.090770879065
40,-694.167832182663,-485.068053054283
40.1,-696.516993490515,-481.536457092016
40.2,-698.866154798368,-472.147067702624
40.3,-701.215316106221,-462.757678313233
40.4,-703.564477414074,-453.368288923841
